plot,subsample,trt,time.yr,amapo_v,amapo_Total,amapo_perV,abuth_v,abuth_Total,abuth_perV,,,,,,,
304,B,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
305,A,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
305,B,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
306,A,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
306,B,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
307,A,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
307,B,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
307,B2,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
401,A,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
401,B,CO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
402,A,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
402,B,AC,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
403,A,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
403,B,AO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
404,A,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
404,B,C,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
405,A,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
405,B,O,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
406,A,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
406,B,ACO,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
407,A,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
407,B,A,0,NA,NA,0.970588235,NA,NA,0.698067633,,,,,,,
101,A,O,1,2,25,0.08,27,30,0.9,,,,,,,
101,B,O,1,0,9,0,118,119,0.991596639,,,,,,,
102,A,A,1,19,30,0.633333333,30,30,1,,,,,,,
102,B,A,1,15,46,0.326086957,108,108,1,,,,,,,
103,A,ACO,1,16,29,0.551724138,28,29,0.965517241,,,,,,,
103,B,ACO,1,6,23,0.260869565,83,84,0.988095238,,,,,,,
104,A,C,1,5,28,0.178571429,27,30,0.9,,,,,,,
104,B,C,1,NA,NA,NA,62,62,1,,,,,,,
105,A,CO,1,12,30,0.4,29,30,0.966666667,,,,,,,
105,B,CO,1,28,113,0.247787611,54,54,1,,,,,,,
106,A,AC,1,3,30,0.1,30,30,1,,,,,,,
106,B,AC,1,0,28,0,40,41,0.975609756,,,,,,,
107,A,AO,1,13,27,0.481481481,27,30,0.9,,,,,,,
107,B,AO,1,66,136,0.485294118,32,33,0.96969697,,,,,,,
201,A,AC,1,20,30,0.666666667,29,29,1,,,,,,,
201,B,AC,1,NA,NA,NA,78,81,0.962962963,,,,,,,
202,A,A,1,14,29,0.482758621,29,30,0.966666667,,,,,,,
202,B,A,1,NA,NA,NA,85,85,1,,,,,,,
203,A,CO,1,11,26,0.423076923,29,30,0.966666667,,,,,,,
203,B,CO,1,NA,NA,NA,30,31,0.967741935,,,,,,,
204,A,ACO,1,12,26,0.461538462,30,30,1,,,,,,,
204,B,ACO,1,NA,NA,NA,NA,NA,NA,,,,,,,
205,A,AO,1,6,30,0.2,30,30,1,,,,,,,
205,B,AO,1,NA,NA,NA,104,104,1,,,,,,,
206,A,O,1,19,30,0.633333333,30,30,1,,,,,,,
206,B,O,1,NA,NA,NA,90,92,0.97826087,,,,,,,
207,A,C,1,11,30,0.366666667,30,30,1,,,,,,,
207,B,C,1,NA,NA,NA,69,69,1,,,,,,,
301,A,AC,1,21,30,0.7,28,30,0.933333333,,,,,,,
301,B,AC,1,NA,NA,NA,87,93,0.935483871,,,,,,,
